CardID,Responded
C0100143098,F
C0100143341,T
C0100143552,F
C0100143642,T
C0100143794,T
C0100143886,T
C0100144196,F
C0100144340,F
C0100144489,T
C0100144664,F
C0100144757,F
C0100144851,F
C0100145104,F
C0100145173,T
C0100145222,F
C0100145383,F
C0100145647,F
C0100145801,F
C0100145813,T
C0100146213,F
C0100146276,F
C0100146474,F
C0100146842,F
C0100146913,F
C0100147000,F
C0100147008,F
C0100147554,F
C0100148320,T
C0100148785,T
C0100148859,F
C0100148872,F
C0100148964,F
C0100149156,F
C0100149208,T
C0100149639,F
C0100149670,F
C0100149770,F
C0100149841,F
C0100150374,F
C0100150611,F
C0100150878,F
C0100152028,F
C0100152170,T
C0100152229,F
C0100152350,F
C0100152580,T
C0100153172,F
C0100153750,T
C0100154059,F
C0100154135,F
C0100154176,F
C0100154234,F
C0100154442,F
C0100154968,F
C0100155080,F
C0100155907,F
C0100156502,F
C0100156583,F
C0100156652,F
C0100156719,F
C0100156741,F
C0100157320,F
C0100157412,F
C0100157655,F
C0100157885,F
C0100158248,F
C0100158269,F
C0100158306,F
C0100158767,F
C0100159037,T
C0100159109,F
C0100159562,F
C0100159653,F
C0100159728,F
C0100160074,F
C0100160275,F
C0100160365,F
C0100160405,F
C0100160906,F
C0100161351,F
C0100161382,F
C0100161469,F
C0100161934,F
C0100162148,F
C0100162336,F
C0100163043,F
C0100163194,F
C0100163613,F
C0100164402,F
C0100164425,F
C0100164764,F
C0100165252,T
C0100165431,T
C0100165559,F
C0100165799,F
C0100166115,F
C0100166509,F
C0100166661,F
C0100166712,F
C0100166802,F
C0100166805,T
C0100167097,F
C0100167120,F
C0100167210,F
C0100167674,F
C0100167761,T
C0100167993,F
C0100168042,F
C0100168264,F
C0100168266,T
C0100168567,F
C0100168596,F
C0100168666,F
C0100168719,T
C0100168808,F
C0100169447,F
C0100169568,F
C0100169707,F
C0100169907,T
C0100170067,F
C0100170336,F
C0100170355,F
C0100170426,F
C0100170620,F
C0100170971,F
C0100171256,F
C0100171636,F
C0100172201,F
C0100172226,F
C0100172322,T
C0100172496,F
C0100172798,F
C0100173026,F
C0100173119,F
C0100173452,F
C0100173485,F
C0100173555,F
C0100173838,F
C0100174035,F
C0100174489,F
C0100174521,F
C0100175026,F
C0100175923,T
C0100176093,F
C0100176255,F
C0100177030,F
C0100177095,F
C0100177209,F
C0100177226,F
C0100177314,F
C0100177392,F
C0100177739,F
C0100177895,F
C0100177961,F
C0100178052,F
C0100178565,F
C0100179304,F
C0100179386,F
C0100179389,F
C0100179457,F
C0100179523,F
C0100179641,T
C0100179947,F
C0100180223,F
C0100180627,F
C0100180802,F
C0100180874,F
C0100180956,F
C0100181123,F
C0100181725,F
C0100181735,F
C0100181986,F
C0100182923,F
C0100183125,F
C0100183238,F
C0100183635,T
C0100183836,T
C0100184006,T
C0100184837,F
C0100184873,F
C0100184977,F
C0100185057,T
C0100185145,F
C0100185281,F
C0100185532,F
C0100185712,F
C0100185859,T
C0100186024,F
C0100186288,T
C0100186347,F
C0100186699,F
C0100186969,F
C0100187115,F
C0100187262,F
C0100187683,F
C0100187767,F
C0100187894,F
C0100188314,F
C0100189469,F
C0100189614,F
C0100189751,F
C0100190175,T
C0100190344,F
C0100190581,F
C0100190711,F
C0100190857,F
C0100191864,F
C0100192545,F
C0100192699,F
C0100193108,F
C0100193613,F
C0100193664,F
C0100193784,F
C0100193826,F
C0100194199,F
C0100194651,F
C0100194783,F
C0100194949,F
C0100194974,F
C0100195161,F
C0100195506,F
C0100195794,F
C0100195939,F
C0100196088,F
C0100196546,F
C0100196989,F
C0100197003,F
C0100197346,F
C0100197609,F
C0100198028,F
C0100198251,T
C0100198442,T
C0100198611,F
C0100198848,F
C0100199280,F
C0100199507,F
C0100199651,F
C0100200345,F
C0100200936,F
C0100201083,F
C0100201137,F
C0100201283,F
C0100201383,F
C0100201474,T
C0100201521,F
C0100201947,F
C0100202546,F
C0100202802,T
C0100203195,F
C0100203664,F
C0100203749,F
C0100204066,F
C0100204199,F
C0100204293,F
C0100204538,T
C0100204581,F
C0100204717,F
C0100205018,F
C0100205428,F
C0100206294,F
C0100206367,F
C0100206511,F
C0100206808,T
C0100206831,F
C0100206874,F
C0100207196,F
C0100207477,F
C0100207720,T
C0100207839,T
C0100207917,F
C0100207991,F
C0100208021,T
C0100208243,F
C0100208439,F
C0100208613,F
C0100208682,T
C0100208707,F
C0100208788,F
C0100209030,F
C0100209083,F
C0100209258,T
C0100209299,F
C0100209351,F
C0100209420,F
C0100209643,F
C0100209820,F
C0100209845,T
C0100209922,T
C0100210528,F
C0100210724,F
C0100211000,F
C0100211129,F
C0100211266,F
C0100211436,F
C0100211949,F
C0100211983,F
C0100211999,F
C0100212012,F
C0100212076,F
C0100212329,F
C0100212388,F
C0100212589,F
C0100212640,T
C0100212808,F
C0100213066,T
C0100213239,F
C0100213514,F
C0100213676,T
C0100213710,F
C0100214072,F
C0100214263,F
C0100214264,F
C0100214340,F
C0100214456,F
C0100214816,T
C0100214862,T
C0100215070,F
C0100215470,F
C0100215538,T
C0100215710,F
C0100215799,F
C0100215802,F
C0100216380,F
C0100216670,F
C0100216948,F
C0100217033,F
C0100217149,F
C0100217461,F
C0100217540,F
C0100217734,F
C0100218608,F
C0100218826,T
C0100219364,F
C0100219492,F
C0100219638,T
C0100219856,F
C0100220160,T
C0100220588,F
C0100220707,F
C0100220789,F
C0100220829,F
C0100220871,F
C0100221042,F
C0100221093,F
C0100221339,F
C0100221406,F
C0100221614,F
C0100221929,T
C0100222133,F
C0100222377,T
C0100222551,T
C0100223192,T
C0100223302,F
C0100223701,T
C0100223714,F
C0100224268,T
C0100224297,F
C0100224741,F
C0100225122,F
C0100225344,F
C0100225401,F
C0100225579,F
C0100226005,T
C0100226263,T
C0100226353,T
C0100227071,F
C0100227206,F
C0100227542,F
C0100227756,F
C0100227848,F
C0100228023,T
C0100228227,F
C0100228289,F
C0100228583,F
C0100228842,F
C0100229041,F
C0100229289,F
C0100230471,F
C0100230779,T
C0100230873,F
C0100231144,F
C0100231283,F
C0100231292,F
C0100231527,F
C0100232493,F
C0100232584,F
C0100232636,T
C0100232716,F
C0100233160,F
C0100233206,F
C0100233253,T
C0100233461,T
C0100233767,T
C0100233780,F
C0100233809,F
C0100234045,F
C0100234457,F
C0100234580,F
C0100235058,F
C0100235093,F
C0100235395,F
C0100235497,F
C0100235937,T
C0100236033,F
C0100236097,T
C0100236185,T
C0100236548,F
C0100236635,F
C0100237640,F
C0100237674,F
C0100237815,F
C0100238050,F
C0100238162,F
C0100238377,F
C0100238727,T
C0100238758,F
C0100238900,F
C0100239102,F
C0100239256,F
C0100239779,F
C0100239806,F
C0100239910,F
C0100240212,F
C0100240294,F
C0100240382,F
C0100240510,F
C0100240693,F
C0100241239,T
C0100241399,T
C0100242248,F
C0100242491,F
C0100242623,T
C0100242754,F
C0100242843,F
C0100243073,T
C0100243295,F
C0100243775,T
C0100243986,F
C0100244037,F
C0100244095,F
C0100244314,F
C0100244351,F
C0100244583,F
C0100244689,T
C0100244904,F
C0100245218,F
C0100245322,F
C0100245397,F
C0100245472,F
C0100245721,F
C0100245801,F
C0100245804,F
C0100245989,F
C0100246427,F
C0100246515,F
C0100246542,T
C0100247234,T
C0100247632,F
C0100247976,F
C0100248147,F
C0100248927,F
C0100249062,F
C0100249324,T
C0100249820,F
C0100250019,F
C0100250307,F
C0100250780,T
C0100250858,F
C0100250936,T
C0100251175,F
C0100251196,F
C0100251400,F
C0100251547,F
C0100251889,F
C0100252013,F
C0100252551,F
C0100252779,F
C0100252924,T
C0100253274,F
C0100253451,F
C0100253611,T
C0100253852,F
C0100254124,F
C0100254832,F
C0100254924,F
C0100255847,F
C0100255955,F
C0100256058,F
C0100256145,F
C0100256202,F
C0100256294,F
C0100256325,F
C0100256481,F
C0100256753,T
C0100256849,F
C0100256889,F
C0100257113,F
C0100257396,F
C0100257504,F
C0100257671,F
C0100257775,F
C0100258029,F
C0100258227,F
C0100258313,F
C0100258326,F
C0100258960,F
C0100259014,F
C0100259471,F
C0100259608,T
C0100259679,F
C0100259733,F
C0100259880,T
C0100260659,F
C0100260697,F
C0100260758,F
C0100261009,F
C0100261368,T
C0100261683,F
C0100261826,F
C0100262145,F
C0100262513,F
C0100264087,F
C0100264195,T
C0100264365,F
C0100264545,F
C0100264584,F
C0100264693,T
C0100264923,T
C0100265019,F
C0100265211,T
C0100265650,F
C0100266225,T
C0100266280,F
C0100266734,F
C0100267456,F
C0100267494,F
C0100267583,F
C0100267996,F
C0100268057,F
C0100268334,T
C0100268706,F
C0100268866,F
C0100269389,F
C0100269432,T
C0100269558,F
C0100269601,F
C0100269678,F
C0100269937,F
C0100270010,F
C0100270128,F
C0100270444,F
C0100270511,F
C0100270520,F
C0100270635,F
C0100271557,F
C0100271560,F
C0100271732,F
C0100272070,F
C0100272277,F
C0100272532,F
C0100273524,F
C0100273654,F
C0100273845,F
C0100274099,F
C0100274200,F
C0100274450,F
C0100274485,F
C0100274530,F
C0100274685,F
C0100274703,F
C0100274834,F
C0100275399,F
C0100276199,F
C0100276340,F
C0100276680,F
C0100276811,F
C0100276896,F
C0100277017,F
C0100277163,F
C0100277724,F
C0100277842,F
C0100278178,F
C0100278482,F
C0100278988,F
C0100279237,F
C0100279819,F
C0100280800,F
C0100280909,F
C0100280932,F
C0100281020,F
C0100281063,F
C0100281639,F
C0100281983,F
C0100282161,T
C0100282451,T
C0100282454,F
C0100282795,F
C0100282840,F
C0100283285,F
C0100283300,F
C0100284630,F
C0100284891,F
C0100285293,F
C0100285318,F
C0100286018,F
C0100286158,F
C0100286320,F
C0100286391,F
C0100286446,F
C0100287467,F
C0100287823,F
C0100287882,F
C0100288073,F
C0100288870,F
C0100288922,F
C0100289013,T
C0100289441,F
C0100290146,F
C0100290457,F
C0100290526,F
C0100290666,F
C0100290714,F
C0100291216,T
C0100291312,F
C0100291745,F
C0100291794,F
C0100291884,F
C0100292106,F
C0100292184,F
C0100292253,F
C0100292843,F
C0100292878,F
C0100293044,F
C0100293138,F
C0100293176,F
C0100294359,F
C0100295211,F
C0100295342,F
C0100295482,F
C0100296059,F
C0100296265,F
C0100296463,F
C0100296499,F
C0100296607,F
C0100296902,F
C0100296960,F
C0100297497,F
C0100297789,F
C0100298014,F
C0100298125,F
C0100298248,F
C0100298696,F
C0100298787,F
C0100299663,F
C0100299749,F
C0100299991,F
C0100300032,F
C0100300515,F
C0100300907,F
C0100300972,F
C0100301074,F
C0100301134,F
C0100301296,F
C0100302014,F
C0100302353,F
C0100302861,F
C0100303110,F
C0100303873,F
C0100304040,F
C0100304363,F
C0100304472,F
C0100304688,F
C0100305240,F
C0100305350,F
C0100305375,F
C0100305428,F
C0100305736,F
C0100305890,F
C0100306177,F
C0100306367,F
C0100306680,F
C0100306750,F
C0100307417,F
C0100307649,F
C0100307677,F
C0100307814,F
C0100308065,F
C0100308107,F
C0100308141,F
C0100308589,F
C0100309120,F
C0100309169,F
C0100309413,F
C0100309653,F
C0100309887,F
C0100309961,F
C0100309987,F
C0100310313,F
C0100310365,F
C0100311259,F
C0100311536,F
C0100312033,F
C0100312156,F
C0100312579,F
C0100312645,F
C0100312768,F
C0100313364,F
C0100313424,F
C0100313512,F
C0100313592,F
C0100314007,F
C0100314167,F
C0100314357,F
C0100314448,F
C0100314554,F
C0100314631,F
C0100314856,F
C0100315735,F
C0100315758,F
C0100315866,F
C0100316417,F
C0100316633,F
C0100316646,F
C0100316857,F
C0100317138,F
C0100317139,F
C0100317272,F
C0100317683,F
C0100317837,F
C0100318772,F
C0100318918,F
C0100319591,F
C0100319949,F
C0100320080,F
C0100320770,F
C0100321019,F
C0100321193,F
C0100321788,F
C0100322069,F
C0100322409,F
C0100322516,F
C0100322953,F
C0100323063,F
C0100323124,F
C0100323165,F
C0100324475,F
C0100324770,F
C0100324776,F
C0100324895,F
C0100325150,F
C0100325656,F
C0100325800,F
C0100325926,F
C0100326590,F
C0100326625,F
C0100326788,F
C0100326863,F
C0100327063,F
C0100327211,F
C0100327299,F
C0100327697,F
C0100328464,F
C0100328545,F
C0100328737,F
C0100328887,F
C0100328897,F
C0100329300,F
C0100329376,F
C0100329550,F
C0100329573,F
C0100330075,F
C0100330284,F
C0100330746,F
C0100330979,F
C0100331097,F
C0100331191,F
C0100331530,F
C0100331704,F
C0100331781,F
C0100332015,F
C0100332308,F
C0100332491,F
C0100332730,F
C0100332969,F
C0100333086,F
C0100333174,F
C0100333363,F
C0100333565,F
C0100333862,F
C0100334581,F
C0100335144,F
C0100335802,F
C0100335959,F
C0100336175,F
C0100336304,F
C0100336461,F
C0100337051,F
C0100337080,F
C0100337152,F
C0100337354,F
C0100337595,F
C0100337649,F
C0100337780,F
C0100338172,F
C0100338533,F
C0100338852,F
C0100339210,F
C0100339279,F
C0100339633,F
C0100339755,F
C0100339869,F
C0100339905,F
C0100339917,F
C0100339930,F
C0100339948,F
C0100340056,F
C0100340349,F
C0100340773,F
C0100341031,F
C0100341299,F
C0100341497,F
C0100341538,F
C0100342362,F
C0100342794,F
C0100342911,F
C0100342929,F
C0100343400,F
C0100343769,F
C0100343854,F
C0100344036,F
C0100344759,F
C0100344845,F
C0100345281,F
C0100345398,F
C0100345552,F
C0100345660,F
C0100345748,F
C0100346155,F
C0100346501,F
C0100346590,F
C0100346601,F
C0100347001,F
C0100347233,F
C0100347913,F
C0100347982,F
C0100348141,F
C0100348268,F
C0100348932,F
C0100349086,F
C0100349235,F
C0100349515,F
C0100349567,F
C0100350047,F
C0100350534,F
C0100350838,F
C0100351003,F
C0100351105,F
C0100351574,F
C0100351743,F
C0100351998,F
C0100352074,F
C0100352557,F
C0100352920,F
C0100353144,F
C0100353202,F
C0100353215,F
C0100353651,F
C0100353712,F
C0100353878,F
C0100353909,F
C0100354379,F
C0100354498,F
C0100354746,F
C0100354897,F
C0100355236,F
C0100355542,F
C0100355676,F
C0100356129,F
C0100356181,F
C0100356541,F
C0100356928,F
C0100357139,F
C0100357229,F
C0100357298,F
C0100357415,F
C0100357610,F
C0100357922,F
C0100358232,F
C0100358409,F
C0100358717,F
C0100359075,F
C0100359514,F
C0100360071,F
C0100360098,F
C0100360365,F
C0100360391,F
C0100360422,F
C0100360650,F
C0100361094,F
C0100361191,F
C0100361588,F
C0100361664,F
C0100362079,F
C0100362107,F
C0100362711,F
C0100362929,F
C0100363111,F
C0100363580,F
C0100363811,F
C0100364083,F
C0100364104,F
C0100364439,F
C0100364501,F
C0100364543,F
C0100364688,F
C0100364764,F
C0100365484,F
C0100365757,F
C0100366174,F
C0100366424,F
C0100366616,F
C0100366860,F
C0100367101,F
C0100367796,F
C0100368522,F
C0100369221,F
C0100370751,F
C0100370798,F
C0100370948,F
C0100371018,F
C0100371058,F
C0100371222,F
C0100371404,F
C0100371712,F
C0100371736,F
C0100371798,F
C0100372013,F
C0100372759,F
C0100372972,F
C0100373290,F
C0100373747,F
C0100373868,F
C0100373871,F
C0100374442,F
C0100374889,F
C0100374967,F
C0100375125,F
C0100375184,F
C0100375254,F
C0100375377,F
C0100375389,F
C0100375625,F
C0100375688,F
C0100376296,F
C0100376307,F
C0100376388,F
C0100377175,F
C0100377379,F
C0100377449,F
C0100378498,F
C0100378913,F
C0100379533,F
C0100379553,F
C0100379965,F
C0100380195,F
C0100380284,F
C0100380411,F
C0100380682,F
C0100380824,F
C0100381320,F
C0100381830,F
C0100381849,F
C0100382137,F
C0100382440,F
C0100382535,F
C0100383526,F
C0100383803,F
C0100384005,F
C0100384342,F
C0100384486,F
C0100384828,F
C0100384905,F
C0100384966,F
C0100385186,F
C0100385360,F
C0100385878,F
C0100386506,F
C0100386554,F
C0100386643,F
C0100386821,F
C0100387133,F
C0100387481,F
C0100388106,F
C0100388243,F
C0100388387,F
C0100388839,F
C0100388875,F
C0100388920,F
C0100389222,F
C0100389254,F
C0100389337,F
C0100389415,F
C0100389455,F
C0100389562,F
C0100389997,F
C0100390093,F
C0100390336,F
C0100390473,F
C0100390529,F
C0100391446,F
C0100391560,F
C0100391953,F
C0100392115,F
C0100392211,F
C0100392970,F
C0100393232,F
C0100393276,F
C0100393337,F
C0100393547,F
C0100393894,F
C0100394276,F
C0100394374,F
C0100395218,F
C0100395358,F
C0100396328,F
C0100396397,F
C0100396510,F
C0100397036,F
C0100397449,F
C0100397577,F
C0100397875,F
C0100398065,F
C0100398214,F
C0100399060,F
C0100399179,F
C0100399207,F
C0100399330,F
C0100399725,F
C0100399815,F
C0100400013,F
C0100400215,F
C0100400311,F
C0100400390,F
C0100400478,F
C0100400542,F
C0100400576,F
C0100401511,F
C0100401993,F
C0100402087,F
C0100402498,F
C0100402767,F
C0100402839,F
C0100402999,F
C0100403082,F
C0100403230,F
C0100403628,F
C0100403896,F
C0100403976,F
C0100404215,F
C0100404334,F
C0100404558,F
C0100404572,F
C0100404962,F
C0100405199,F
C0100405345,F
C0100405448,F
C0100405588,F
C0100406396,F
C0100406582,F
C0100406909,F
C0100407087,F
C0100407213,F
C0100407336,F
C0100407513,F
C0100407769,F
C0100408053,F
C0100408075,F
C0100408153,F
C0100409177,F
C0100409219,F
C0100409744,F
C0100409906,F
C0100409967,F
C0100410524,F
C0100410783,F
C0100411016,F
C0100411479,F
C0100411557,F
C0100411882,F
C0100411940,F
C0100412272,F
C0100412714,F
C0100413003,F
C0100413238,F
C0100413288,F
C0100413704,F
C0100413982,F
C0100414106,F
C0100414244,F
C0100414742,F
C0100414774,F
C0100414957,F
C0100415381,F
C0100415440,F
C0100416085,F
C0100416166,F
C0100416573,F
